    cli,Bubble,Shell,Insertion,Selection,Quick
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,0,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,0,0
jv,1,0,0,1,0
jv,2,0,0,1,0
jv,2,0,0,1,0
jv,2,0,0,1,0
jv,2,0,0,1,0
jv,2,0,0,1,0
jv,2,0,0,1,0
jv,2,0,0,1,0
jv,2,0,0,1,0
jv,2,0,0,1,0
jv,3,0,1,1,0
jv,2,0,1,1,0
jv,2,0,1,1,0
jv,3,0,1,1,0
jv,2,0,1,1,0
jv,2,0,1,1,0
jv,2,0,1,1,0
jv,3,0,1,2,0
jv,3,0,1,1,0
jv,2,0,1,1,0
jv,2,0,1,1,0
jv,3,0,2,2,0
jv,4,0,1,1,0
jv,3,0,1,2,0
jv,3,0,1,2,0
jv,3,0,1,2,0
jv,3,0,1,1,0
jv,3,0,1,2,0
jv,3,0,1,2,0
jv,3,0,1,1,0
jv,3,0,1,2,0
jv,3,0,1,1,0
jv,3,0,1,2,0
jv,3,0,2,2,0
jv,3,0,1,2,0
jv,3,0,2,2,0
jv,3,0,1,1,0
jv,3,0,1,1,0
jv,3,0,2,2,0
jv,4,0,1,2,0
jv,3,0,1,2,0
jv,3,0,1,2,0
jv,4,0,2,2,0
jv,4,0,2,2,0
jv,4,0,2,2,0
jv,4,0,2,2,0
jv,5,0,2,2,0
jv,5,0,2,3,0
jv,4,0,2,2,0
jv,4,0,1,2,0
jv,4,0,2,2,0
jv,5,0,2,2,0
jv,4,0,2,2,0
jv,4,0,2,2,0
jv,4,0,2,2,0
jv,5,0,2,3,0
jv,5,0,2,3,0
jv,5,0,2,3,0
jv,5,0,2,3,0
jv,5,0,2,3,0
jv,5,0,3,3,0
jv,5,0,3,3,0
jv,5,0,2,3,0
jv,6,0,2,3,0
jv,5,0,2,3,0
jv,5,0,2,3,0
jv,5,0,2,3,0
jv,5,0,2,3,0
jv,9,0,4,6,1
jv,6,0,3,3,0
jv,5,0,2,3,0
jv,6,0,2,3,0
jv,6,0,2,3,0
jv,6,0,2,3,0
jv,6,0,2,3,0
jv,6,0,2,4,0
jv,5,0,2,3,0
jv,6,0,3,3,0
jv,6,0,2,4,0
jv,6,0,2,4,0
jv,6,0,3,4,0
jv,7,0,3,4,0
jv,7,0,3,22,1
jv,7,0,3,4,0
jv,8,0,3,5,0
jv,12,1,6,7,1
jv,7,1,4,6,0
jv,8,0,3,5,0
jv,7,0,4,5,0
jv,9,0,3,5,0
jv,7,0,3,6,0
jv,8,0,3,5,0
jv,7,0,3,5,0
jv,7,0,3,5,0
jv,7,1,3,5,0
jv,7,0,3,4,0
jv,8,0,3,5,1
jv,8,0,4,5,0
jv,7,0,3,5,0
jv,8,0,4,5,0
jv,7,0,3,5,0
jv,8,0,3,6,0
jv,8,0,3,5,0
jv,7,0,3,5,0
jv,8,0,3,6,0
jv,8,0,3,5,0
jv,7,0,3,5,0
jv,7,0,3,5,0
jv,7,0,3,5,0
jv,8,0,3,5,0
jv,8,0,3,5,0
jv,7,0,3,5,0
jv,8,0,3,6,0
jv,8,0,3,5,0
jv,9,0,3,6,0
jv,8,1,3,6,0
jv,8,0,3,6,0
jv,9,1,3,6,0
jv,11,1,4,7,0
jv,7,0,3,5,0
jv,8,1,4,7,0
jv,9,1,3,6,0
jv,9,0,3,6,0
jv,9,0,3,6,0
jv,8,1,3,6,0
jv,9,0,3,6,0
jv,9,1,3,6,0
